DrugBank ID,Accession Numbers,Common name,CAS,UNII,Synonyms,Standard InChI Key
DB00459,APRD00778,Acitretin,55079-83-9,LCH760E9T7,"(all-E)-9-(4-Methoxy-2,3,6-trimethylphenyl)-3,7-dimethyl-2,4,6,8-nonatetraenoic acid | Acitretin | Acitretina | Acitretine | Acitretinum | all-trans-3,7-Dimethyl-9-(4-methoxy-2,3,6-trimethylphenyl)-2,4,6,8-nonatetraenoic acid | Etretin",IHUNBGSDBOWDMA-AQFIFDHZSA-N
DB00460,APRD01290,Verteporfin,129497-78-5,WU713D62N9,Verteporfin | Verteporfina | Vertéporfine | Verteporfinum,YTZALCGQUPRCGW-MXVXOLGGSA-N
DB00461,APRD01128,Nabumetone,42924-53-8,LW0TIW155Z,4-(6-Methoxy-2-naphthalenyl)-2-butanone | 4-(6-Methoxy-2-naphthyl)-2-butanone | Nabumeton | Nabumetona | Nabumétone | Nabumetone | Nabumetonum,BLXXJMDCKKHMKV-UHFFFAOYSA-N
DB00462,APRD00314,Methscopolamine bromide,155-41-9,RTN51LK7WL,(−)-scopolamine methobromide | (−)-scopolamine methyl bromide | Hyoscine methobromide | Hyoscine methyl bromide | Methscopolamine bromide | Methylscopolamine bromide | N-methylhyoscine bromide | N-methylscopolammonium bromide | Scopolamine methobromide | Scopolamine methyl bromide,CXYRUNPLKGGUJF-RAFJPFSSSA-M
DB00463,APRD00757,Metharbital,50-11-3,02OS7K758T,Metarbital | Metharbital | Metharbitalum,FWJKNZONDWOGMI-UHFFFAOYSA-N
DB00464,APRD00575,Sodium tetradecyl sulfate,139-88-8,Q1SUG5KBD6,"7-Ethyl-2-methyl-4-undecanol sulfate sodium salt | 7-ethyl-2-methyl-4-undecanolsulfate, sodium salt | Natrii tetradecylis sulfa | Sodium 2-methyl-7-ethylundecanol-4-sulfate | Sodium 7-ethyl-2-methyl-4-undecanol sulfate | Sodium tetradecyl sulfate | Sodium tetradecyl sulphate | Sodium tetradecylsulfate | STS | Tetradecilsulfato sodico | Tetradecyl sodium sulfate | Tetradecyl sulfate de sodium",FVEFRICMTUKAML-UHFFFAOYSA-M
DB00465,APRD01060,Ketorolac,74103-06-3,YZI5105V0L,Ketorolac | Kétorolac | Ketorolaco | Ketorolacum | rac-Ketorolac,OZWKMVRBQXNZKK-UHFFFAOYSA-N
DB00466,APRD00269,Picrotoxin,124-87-8,ZLT174DL7U,cocculin,VJKUPQSHOVKBCO-ZTYBEOBUSA-N
DB00467,APRD00947,Enoxacin,74011-58-8,325OGW249P,"1-ethyl-6-fluoro-1,4-dihydro-4-oxo-7-(1-piperazinyl)-1,8-naphthyridine-3-carboxylic acid | 1-Ethyl-6-fluoro-4-oxo-7-piperazin-1-yl-1,4-dihydro-[1,8]naphthyridine-3-carboxylic acid | Enoxacin | Enoxacina | Énoxacine | Enoxacino | Enoxacinum",IDYZIJYBMGIQMJ-UHFFFAOYSA-N
DB00468,APRD00563,Quinine,130-95-0,A7V27PHC7A,"(-)-Quinine | (−)-quinine | (8S,9R)-quinine | (R)-(−)-quinine | (R)-(6-methoxyquinolin-4-yl)((2S,4S,8R)-8-vinylquinuclidin-2-yl)methanol | 6'-Methoxycinchonidine | Chinin | Chinine | Chininum | Quinina | Quinine",LOUPRKONTZGTKE-WZBLMQSHSA-N
DB00469,APRD00011,Tenoxicam,59804-37-4,Z1R9N0A399,Tenoxicam | Ténoxicam | Tenoxicamum,LZNWYQJJBLGYLT-UHFFFAOYSA-N
DB00470,APRD00571,Dronabinol,1972-08-3,7J8897W37S,".DELTA.1-THC | (-)-delta9-trans-Tetrahydrocannabinol | 1-trans-delta-9-Tetrahydrocannabinol | 3-Pentyl-6,6,9-trimethyl-6a,7,8,10a-tetrahydro-6H-dibenzo(b,d)pyran-1-ol | 6,6,9-Trimethyl-3-pentyl-6a,7,8,10a-tetrahydro-6H-benzo[c]chromen-1-ol | delta-9-tetrahydrocannabinol | delta-9-THC | delta(1)-tetrahydrocannabinol | delta(9)-THC | delta9-tetrahydrocannabinol | Dronabinol | Dronabinolum | Tetrahydrocannabinol | THC | Δ9-tetrahydrocannabinol",CYQFCXCEBYINGO-IAGOWNOFSA-N
DB00471,APRD00434,Montelukast,158966-92-8,MHM278SD3E,(R-(E))-1-(((1-(3-(2-(7-Chloro-2-quinolinyl)ethenyl)phenyl)-3-(2-(1-hydroxy-1-methylethyl)phenyl)propyl)thio)methyl)cyclopropaneacetic acid | 1-[[[(1 R)-1-[3-[(1E)-2-(7-chloro-2-quinolinyl)ethenyl] phenyl]-3-[2-(1-hydroxy-1-methylethyl)phenyl]propyl]sulfanyl]methyl]cyclopropaneacetic acid | Montelukast | Montélukast | Montelukastum,UCHDWCPVSPXUMX-TZIWLTJVSA-N
DB00472,APRD00530,Fluoxetine,54910-89-3,01K63SUP8D,"(+-)-N-Methyl-3-phenyl-3-((alpha,alpha,alpha-trifluoro-P-tolyl)oxy)propylamine | (+-)-N-Methyl-gamma-(4-(trifluoromethyl)phenoxy)benzenepropanamine | Fluoxetin | Fluoxetina | Fluoxetine | Fluoxétine | Fluoxetinum",RTHCYVBBDHJXIQ-UHFFFAOYSA-N
DB00473,APRD01014,Hexylcaine,532-77-4,511IU0826Z,Hexilcaina | Hexylcaine | Hexylcainum,DKLKMKYDWHYZTD-UHFFFAOYSA-N
DB00474,APRD00058,Methohexital,151-83-7,E5B8ND5IPE,"(±)-5-allyl-1-methyl-5-(1-methyl-2-pentynyl)barbituric acid | 5-allyl-1-methyl-5-(1-methyl-2-pentynyl)-2,4,6(1H,3H,5H)-pyrimidinetrione | 5-Allyl-1-methyl-5-(1-methyl-pent-2-ynyl)-pyrimidine-2,4,6-trione | 5-Allyl-5-(3-hexyn-2-yl)-1-methylbarbituric acid | Methohexital | Methohexitalum | Methohexitone | Metohexital | α-DL-1-methyl-5-allyl-5-(1'-methylpentyn-2-yl)barbituric acid",NZXKDOXHBHYTKP-UHFFFAOYSA-N
DB00475,APRD00682,Chlordiazepoxide,58-25-3,6RZ6XEZ3CR,"7-chloro-2-methylamino-5-phenyl-3H-1,4-benzodiazepin-4-oxide | CDP | Chloradiazepoxide | Chlordiazepoxide | Chlordiazepoxidum | Clopoxide | Clordiazepóxido | Methaminodiazepoxide",ANTSCNMPPGJYLG-UHFFFAOYSA-N
DB00476,APRD00060,Duloxetine,116539-59-4,O5TNM5N07U,(3S)-N-methyl-3-(1-naphthyloxy)-3-(2-thienyl)propan-1-amine | (S)-duloxetine | Duloxetina | Duloxetine,ZEUITGRIYCTCEM-KRWDZBQOSA-N
DB00477,APRD00482,Chlorpromazine,50-53-3,U42B7VYA4P,"3-(2-chloro-10H-phenothiazin-10-yl)-N,N-dimethyl-1-propanamine | 3-(2-chlorophenothiazin-10-yl)-N,N-dimethyl-propan-1-amine | Chlorpromazine | Chlorpromazinum | Clorpromazina | CPZ | N-(3-dimethylaminopropyl)-3-chlorophenothiazine",ZPEIMTDSQAKGNT-UHFFFAOYSA-N
DB00478,APRD01219,Rimantadine,13392-28-4,0T2EF4JQTU,alpha-Methyl-1-adamantanemethylamine | alpha-Methyladamantanemethylamine | Rimantadina | Rimantadine | Rimantadinum,UBCHPRBFMUDMNC-UHFFFAOYSA-N
DB00479,APRD00550,Amikacin,37517-28-5,84319SGC3C,"1-N-(L(−)-γ-amino-α-hydroxybutyryl)kanamycin A | Amikacin | Amikacina | Amikacine | Amikacinum | D-STREPTAMINE, O-3-AMINO-3-DEOXY-.ALPHA.-D-GLUCOPYRANOSYL-(1->6)-O-(6-AMINO-6-DEOXY-.ALPHA.-D-GLUCOPYRANOSYL-(1->4))-N(SUP 1)-(4-AMINO-2-HYDROXY-1-OXOBUTYL)-2-DEOXY-, (S)- | encochleated amikacin | O-3-AMINO-3-DEOXY-.ALPHA.-D-GLUCOPYRANOSYL-(1->4)-O-(6-AMINO-6-DEOXY-.ALPHA.-D-GLUCOPYRANOSYL-(1->6))-N(SUP 3)-(4-AMINO-L-2-HYDROXYBUTYRYL)-2-DEOXY-L-STREPTAMINE",LKCWBDHBTVXHDL-RMDFUYIESA-N
DB00480,APRD01303,Lenalidomide,191732-72-6,F0P408N6V4,"1-oxo-2-(2,6-dioxopiperidin-3-yl)-4-aminoisoindoline | 3-(4-Amino-1-oxoisoindolin-2-yl)piperidine-2,6-dione | Lenalidomida | Lenalidomide",GOTYRUGSSMKFNF-UHFFFAOYSA-N
DB00481,APRD00400,Raloxifene,84449-90-1,YX9162EO3I,(2-(4-Hydroxyphenyl)-6-hydroxybenzo(b)thien-3-yl)(4-(2-(1-piperidinyl)ethoxy)phenyl)methanone | Raloxifène | Raloxifene | Raloxifeno | Raloxifenum,GZUITABIAKMVPG-UHFFFAOYSA-N
DB00482,APRD00373,Celecoxib,169590-42-5,JCX84Q7J1L,Celecoxib | Célécoxib | Celecoxibum | p-(5-p-Tolyl-3-(trifluoromethyl)pyrazol-1-yl)benzenesulfonamide,RZEKVGVHFLEQIL-UHFFFAOYSA-N
DB00483,APRD00712,Gallamine triethiodide,65-29-2,Q3254X40X2,Gallamin triethiodid | Gallamine triethiodide | Gallamini Triethiodidum | Triéthiodure de Gallamine | Trietioduro de galamina,REEUVFCVXKWOFE-UHFFFAOYSA-K
DB00484,APRD00034,Brimonidine,59803-98-4,E6GNX3HHTE,5-Bromo-6-(2-imidazolin-2-ylamino)quinoxaline | Brimonidina | Brimonidine | Brimonidinum | Bromoxidine,XYLJNLCSTIOKRM-UHFFFAOYSA-N
DB00485,APRD00916,Dicloxacillin,3116-76-5,COF19H7WBK,"(2S,5R,6R)-6-({[3-(2,6-dichlorophenyl)-5-methyl-1,2-oxazol-4-yl]carbonyl}amino)-3,3-dimethyl-7-oxo-4-thia-1-azabicyclo[3.2.0]heptane-2-carboxylic acid | Dicloxacilina | Dicloxacillin | Dicloxacillina | Dicloxacilline | Dicloxacillinum",YFAGHNZHGGCZAX-JKIFEVAISA-N
DB00486,APRD01127,Nabilone,51022-71-0,2N4O9L084N,Nabilon | Nabilona | Nabilone | Nabilonum,GECBBEABIDMGGL-RTBURBONSA-N
DB00487,APRD00108,Pefloxacin,70458-92-3,2H52Z9F2Q5,Pefloxacin | Pefloxacine | Pefloxacino | Pefloxacinum | PFLX,FHFYDNQZQSQIAI-UHFFFAOYSA-N
DB00488,APRD00652,Altretamine,645-05-6,Q8BIH59O7H,"2,4,6-tris(dimethylamino)-1,3,5-triazine | 2,4,6-tris(dimethylamino)-s-triazine | Altretamin | Altretamina | Altretamine | Altrétamine | Altretaminum | Hexamethylmelamine | HMM",UUVWYPNAQBNQJQ-UHFFFAOYSA-N
DB00489,APRD01230,Sotalol,3930-20-9,A6D97U294I,4'-(1-hydroxy-2-(isopropylamino)ethyl)methane sulfonanilide | Sotalol | Sotalolo | Sotalolum | β-cardone,ZBMZVLHSJCTVON-UHFFFAOYSA-N
DB00490,APRD00222,Buspirone,36505-84-7,TK65WKS8HL,"8-(4-(4-(2-Pyrimidinyl)-1-piperizinyl)butyl)-8-azaspiro(4,5)decane-7,9-dione | Buspiron | Buspirona | Buspirone | Buspironum",QWCRAEMEVRGPNT-UHFFFAOYSA-N
DB00491,APRD01117,Miglitol,72432-03-2,0V5436JAQW,Miglitol | Miglitolum,IBAQFPQHRJAVAV-ULAWRXDQSA-N
DB00492,APRD00526,Fosinopril,98048-97-6,R43D2573WO,Fosenopril | Fosinopril,BIDNLKIUORFRQP-FLODCBCLSA-N
DB00493,APRD00854,Cefotaxime,63527-52-6,N2GI8B1GK7,"(6R,7R,Z)-3-(acetoxymethyl)-7-(2-(2-aminothiazol-4-yl)-2-(methoxyimino)acetamido)-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-3-(acetoxymethyl)-7-{[(2Z)-2-(2-amino-1,3-thiazol-4-yl)-2-(methoxyimino)acetyl]amino}-8-oxo-5-thia-1-azabicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-3-Acetoxymethyl-7-{2-(2-amino-thiazol-4-yl)-2-[(Z)-methoxyimino]-acetylamino}-8-oxo-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefotaxim | Cefotaxima | Cefotaxime | Céfotaxime | Cefotaximum | Cephotaxime",GPRBEKHLDVQUJE-QSWIMTSFSA-N
DB00494,APRD00416,Entacapone,130929-57-6,4975G9NM6T,"(E)-alpha-Cyano-N,N-diethyl-3,4-dihydroxy-5-nitrocinnamamide | Entacapona | Entacapone | Entacaponum | N,N-diethyl-2-cyano-3-(3,4-dihydroxy-5-nitrophenyl) acrylamide",JRURYQJSLYLRLN-BJMVGYQFSA-N
DB00495,APRD00449,Zidovudine,30516-87-1,4B9XT59T7S,Azidothymidine | AZT | ZDV | Zidovudina | Zidovudine | Zidovudinum,HBOMLICNUCNMMY-XLPZGREQSA-N
DB00496,APRD00903,Darifenacin,133099-04-4,APG9819VLM,"(S)-1-(2-(2,3-dihydro-5-benzofuranyl)ethyl)-α,α-diphenyl-3-pyrrolidineacetamide | Darifenacin | Darifenacina | Darifénacine | Darifenacinum",HXGBXQDTNZMWGS-RUZDIDTESA-N
DB00497,APRD00387,Oxycodone,76-42-6,CD35PMG570,"(-)-14-Hydroxydihydrocodeinone | 4,5-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | 4,5alpha-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | 4,5α-Epoxy-14-hydroxy-3-methoxy-17-methylmorphinan-6-one | Dihydro-14-hydroxycodeinone | Dihydrohydroxycodeinone | Dihydroxycodeinone | Oxicodona | Oxycodone | Oxycodonum",BRUQQQPBMZOVGD-XFKAJCMBSA-N
DB00498,APRD00166,Phenindione,83-12-5,5M7Y6274ZE,"2-phenyl-1,3-diketohydrindene | 2-Phenyl-1,3-indandione | 2-phenyl-1,3(2H)-Indenedione | Fenindiona | Fenindione | Phenindion | Phénindione | Phenindione | Phenindionum | PID",NFBAXHOPROOJAW-UHFFFAOYSA-N
DB00499,APRD00984,Flutamide,13311-84-7,76W6J0943E,"4'-nitro-3'-trifluoromethylisobutyranilide | Flutamid | Flutamida | Flutamide | Flutamidum | FTA | NFBA | Niftolid | Niftolide | α,α,α-trifluoro-2-methyl-4'-nitro-m-propionotoluidide",MKXKFYHWDHIYRV-UHFFFAOYSA-N
DB00500,APRD01268,Tolmetin,26171-23-3,D8K2JPN18B,1-Methyl-5-(4-methylbenzoyl)-pyrrole-2-acetic acid | 1-Methyl-5-p-toluoylpyrrole-2-acetic acid | 5-(p-Toluoyl)-1-methylpyrrole-2-acetic acid | Tolmetin | Tolmetina | Tolmétine | Tolmetino | Tolmetinum,UPSPUYADGBWSHF-UHFFFAOYSA-N
DB00501,APRD00568,Cimetidine,51481-61-9,80061L1WGD,1-Cyano-2-methyl-3-(2-(((5-methyl-4-imidazolyl)methyl)thio)ethyl)guanidine | 2-cyano-1-methyl-3-(2-(((5-methylimidazol-4-yl)methyl)thio)ethyl)guanidine | Cimetidin | Cimetidina | Cimétidine | Cimetidine | Cimetidinum | N-cyano-N'-methyl-N''-(2-([(5-methyl-1H-imidazol-4-yl)methyl]sulfanyl)ethyl)guanidine | N''-cyano-N-methyl-N'-(2-{[(5-methyl-1H-imidazol-4-yl)methyl]thio}ethyl)guanidine,AQIXAKUUQRKLND-UHFFFAOYSA-N
DB00502,APRD00538,Haloperidol,52-86-8,J6292F8L3D,1-(3-p-fluorobenzoylpropyl)-4-p-chlorophenyl-4-hydroxypiperidine | 4-(4-(para-chlorophenyl)-4-hydroxypiperidino)-4'-fluorobutyrophenone | 4-[4-(4-chlorophenyl)-4-hydroxy-1-piperidyl]-1-(4-fluorophenyl)-butan-1-one | 4'-fluoro-4-(4-(p-chlorophenyl)-4-hydroxypiperidinyl)butyrophenone | 4'-fluoro-4-(4-hydroxy-4-(4'-chlorophenyl)piperidino)butyrophenone | Haloperidol | Haloperidolum | γ-(4-(p-chlorophenyl)-4-hydroxpiperidino)-p-fluorbutyrophenone,LNEPOXFFQSENCJ-UHFFFAOYSA-N
DB00503,APRD00312,Ritonavir,155213-67-5,O3J8G9O825,Ritonavir | Ritonavirum,NCDNCNXCDXHOMX-XGKFQTDJSA-N
DB00504,APRD00733,Levallorphan,152-02-3,353613BU4U,Levallofano | Levallorphan | Lévallorphane | Levallorphanum | Levalorfano,OZYUPQUCAUTOBP-QXAKKESOSA-N
DB00505,APRD00286,Tridihexethyl,60-49-1,7HE50A367X,"",NPRHVSBSZMAEIN-UHFFFAOYSA-N
DB00507,APRD00558,Nitazoxanide,55981-09-4,SOA12P041N,Nitaxozanid | Nitaxozanide | Nitazoxanida | Nitazoxanide | Nitazoxanidum,YQNQNVDNTFHQSW-UHFFFAOYSA-N
DB00508,APRD00465,Triflupromazine,146-54-3,RO16TQF95Y,10-(3-(Dimethylamino)propyl)-2-(trifluoromethyl)phenothiazine | 2-(Trifluoromethyl)promazine | 2-Trifluoromethyl-10-(gamma-dimethylaminopropyl)phenothiazine | Fluopromazine | Triflupromazin | Triflupromazina | Triflupromazine | Triflupromazinum,XSCGXQMFQXDFCW-UHFFFAOYSA-N
DB00509,APRD00911,Dextrothyroxine,51-49-0,4W9K63FION,"D-thyroxine | Dextrothyroxine | Dextrothyroxinum | O-(4-hydroxy-3,5-diiodophenyl)-3,5-diiodo-D-tyrosine",XUIIKFGFIJCVMT-GFCCVEGCSA-N
DB00511,APRD01334,Acetyldigitoxin,1111-39-3,0ZV4Q4L2FU,Acetildigitoxina | Acetyl-digitoxin-alpha | Acetyldiginatin | Acetyldigitoxin | Acetyldigitoxinum | Acetylgitoxin | alpha-Acetyldigitoxin | alpha-Acetylgitaloxin | alpha-Monoacetyldigitoxin | Desglucolanatoside A | Digitoxin 3'''-acetate,HPMZBILYSWLILX-UMDUKNJSSA-N
DB00512,APRD01287 | EXPT03217,Vancomycin,1404-90-6,6Q205EH1VU,Vancomicina | Vancomycin | Vancomycine | Vancomycinum,MYPYJXKWCTUITO-LYRMYLQWSA-N
DB00513,APRD00791 | EXPT00408 | EXPT00461 | DB04134,Aminocaproic acid,60-32-2,U6F3787206,6-Aminocaproic acid | 6-aminohexanoic acid | Acide aminocaproïque | Ácido aminocapróico | acidum aminocaproicum | Aminocaproic acid | Aminocapronsäure | EACA | EACS | Epsilcapramine | Epsilon Aminocaproic Acid | Epsilon-Aminocaproic acid | epsilon-Aminohexanoic acid | omega-Aminocaproic acid | omega-Aminohexanoic acid,SLXKOJJOQWFEFD-UHFFFAOYSA-N
DB00514,APRD00655,Dextromethorphan,125-71-3,7355X3ROTS,(+)-dextromethorphan | D-methorphan | delta-Methorphan | Dex | Dextromethorfan | Dextromethorphan | Dextrométhorphane | Dextromethorphanum | Dextrometorfano | DM,MKXZASYAUGDDCJ-NJAFHUGGSA-N
DB00515,APRD00359,Cisplatin,15663-27-1,Q20Q21Q62J,"(SP-4-2)-DIAMMINEDICHLOROPLATINUM | CDDP | Cis-DDP | CIS-DIAMMINEDICHLOROPLATINUM | CIS-DIAMMINEDICHLOROPLATINUM II | cis-diamminedichloroplatinum(II) | Cisplatin | cisplatino | INT-230-6 COMPONENT CISPLATIN | INT230-6 COMPONENT CISPLATIN | PLATINUM, DIAMMINEDICHLORO-, (SP-4-2)-",LXZZYRPGZAFOLE-UHFFFAOYSA-L
DB00516,APRD00819,Bentoquatam,1340-69-8,7F465U79Q1,Bentoquatam,
DB00517,APRD00800,Anisotropine methylbromide,80-50-2,62M960DHIL,"8-Methyl-3-(2-propylpentanoyloxy)tropinium bromide | 8-Methyltropinium bromide 2-propylpentanoate | 8-Methyltropinium bromide 2-propylvalerate | Anisotropine methobromide | Anisotropine methylbromide | endo-8,8-Dimethyl-3-((1-oxo-2-propylpentyl)oxy)-8-azoniabicyclo(3.2.1)octane bromide | Méthylbromure d'octatropine | Methyloctatropine bromide | Metilbromuro de octatropina | Octatropine methylbromide | Octatropini methylbromidum",QSFKGMJOKUZAJM-UHFFFAOYSA-M
DB00518,APRD00782,Albendazole,54965-21-8,F4216019LN,(5-(propylthio)-1H-benzimidazol-2-yl)carbamic acid methyl ester | 5-(propylthio)-2-carbomethoxyaminobenzimidazole | Albendazol | Albendazole | Albendazolum | Eskazole | O-methyl N-(5-(propylthio)-2-benzimidazolyl)carbamate | Proftril,HXHWSAZORRCQMX-UHFFFAOYSA-N
DB00519,APRD01269,Trandolapril,87679-37-6,1T0N3G9CRC,Trandolapril | Trandolaprilum,VXFJYXUZANRPDJ-WTNASJBWSA-N
DB00520,APRD00199,Caspofungin,162808-62-0,F0XDI6ZL63,"(4R,5S)-5-((2-Aminoethyl)amino)-N(sup 2)-(10,12-dimethyltetradecanoyl)-4-hydroxy-L-ornithyl-L-threonyl-trans-4-hydroxy-L-prolyl-(S)-4-hydroxy-4-(p-hydroxyphenyl)-L-threonyl-threo-3-hydroxy-L-ornithyl-trans-3-hydroxy-L-proline cyclic (6-1)-peptide | Caspofungin | Caspofungina",JYIKNQVWKBUSNH-WVDDFWQHSA-N
DB00521,APRD00195,Carteolol,51781-06-7,8NF31401XG,Carteolol | Cartéolol | Carteololum,LWAFSWPYPHEXKX-UHFFFAOYSA-N
DB00522,APRD00818,Bentiromide,37106-97-1,239IF5W61J,Bentiromide | Bentiromido | Bentiromidum | BTPABA | PFT,SPPTWHFVYKCNNK-FQEVSTJZSA-N
DB00523,APRD00017,Alitretinoin,5300-03-8,1UA8E65KDZ,"(2E,4E,6Z,8E)-3,7-dimethyl-9-(2,6,6-trimethyl-1-cyclohexen-1-yl)-2,4,6,8-nonatetraenoic acid | (7E,9Z,11E,13E)-retinoic acid | 9-cis-retinoic acid | 9-cis-Tretinoin | 9(Z)-Retinoic acid | Alitretinoin | Alitretinoína | Alitrétinoïne | Alitretinoinum",SHGAZHPCJJPHSC-ZVCIMWCZSA-N
DB00524,APRD01109,Metolazone,17560-51-9,TZ7V40X7VX,"2-Methyl-3-o-tolyl-6-sulfamyl-7-chloro-1,2,3,4-tetrahydro-4-quinazolinone | 7-Chloro-1,2,3,4-tetrahydro-2-methyl-3-(2-methylphenyl)-4-oxo-6-quinazolinesulfonamide | 7-Chloro-1,2,3,4-tetrahydro-2-methyl-4-oxo-3-o-tolyl-6-quinazolinesulfonamide | Metolazon | Metolazona | Métolazone | Metolazone | Metolazonum",AQCHWTWZEMGIFD-UHFFFAOYSA-N
DB00525,APRD01607,Tolnaftate,2398-96-1,06KB629TKV,"2-Naphthyl N-methyl-N-(3-tolyl)thionocarbamate | m,N-Dimethylthiocarbanilic acid O-2-naphthyl ester | Methyl (3-methylphenyl)carbamothioic acid O-2-naphthalenyl ester | N-methyl-N-(3-methylphenyl)-1-(naphthalen-2-yloxy)methanethioamide | O-2-Naphthyl m,N-dimethylthiocarbanilate | Tolnaftate | Tolnaftato | Tolnaftatum | Tolnaphthate",FUSNMLFNXJSCDI-UHFFFAOYSA-N
DB00526,APRD00186,Oxaliplatin,61825-94-3,04ZR38536J,Diaminocyclohexane Oxalatoplatinum | L-OHP | Oxalatoplatin | Oxalatoplatinum | Oxaliplatin | oxaliplatine | oxaliplatino | oxaliplatinum,ZROHGHOFXNOHSO-BNTLRKBRSA-L
DB00527,APRD00915,Cinchocaine,85-79-0,L6JW2TJG99,2-butoxy-N-(2-(diethylamino)ethyl)cinchoninamide | 2-butoxy-N-(α-diethylaminoethyl)cinchoninamide | 2-butoxy-N-(β-diethylaminoethyl)cinchoninamide | 2-butoxy-N-[2-(diethylamino)ethyl]-4-quinolinecarboxamide | 2-Butoxy-quinoline-4-carboxylic acid (2-diethylamino-ethyl)-amide | 2-butoxyquinoline-4-carboxylic acid diethylaminoethylamide | 2-N-butoxy-N-(2-diethylaminoethyl)cinchoninamide | Cinchocaine | Cinchocainum | Cincocainio | Dibucaine | N-(2-(diethylamino)ethyl)-2-butoxycinchoninamide | α-butyloxycinchonic acid-γ-diethylethylenediamine | α-butyloxycinchoninic acid diethylethylenediamide,PUFQVTATUTYEAL-UHFFFAOYSA-N
DB00528,APRD00193,Lercanidipine,100427-26-7,V7XTJ4R0BH,Lercanidipine | Lercanidipino,ZDXUKAKRHYTAKV-UHFFFAOYSA-N
DB00529,APRD00669,Foscarnet,4428-95-9,364P9RVW4X,Carboxyphosphonic acid | Foscarmet | Phosphonoformate | Phosphonoformic acid | Phosphonomethanoic acid,ZJAOAACCNHFJAH-UHFFFAOYSA-N
DB00530,APRD00951,Erlotinib,183321-74-6,J4T82NDH7E,"[6,7-Bis-(2-methoxy-ethoxy)-quinazolin-4-yl]-(3-ethynyl-phenyl)-amine | Erlotinib",AAKJLRGGTJKAMG-UHFFFAOYSA-N
DB00531,APRD00408,Cyclophosphamide,50-18-0,6UXW23996M,"(+-)-Cyclophosphamide | (±)-2-(BIS(2-CHLOROETHYL)AMINO)TETRAHYDRO-2H-1,3,2-OXAZAPHOSPHORINE 2-OXIDE MONOHYDRATE | (RS)-Cyclophosphamide | 2-[Bis(2-chloroethylamino)]-tetrahydro-2H-1,3,2-oxazaphosphorine-2-oxide | Anhydrous cyclophosphamide | Bis(2-chloroethyl)phosphoramide cyclic propanolamide ester | Ciclofosfamida | Ciclofosfamide | Cyclophosphamid | Cyclophosphamide | Cyclophosphamide anhydrous | Cyclophosphamidum | Cytophosphane | N,N-Bis(2-chloroethyl)tetrahydro-2H-1,3,2-oxazaphosphorin-2-amine 2-oxide",CMSMOCZEIVJLDB-UHFFFAOYSA-N
DB00532,APRD00512,Mephenytoin,50-12-4,R420KW629U,mefenitoína | Mephenytoin,GMHKMTDVRCWUDX-UHFFFAOYSA-N
DB00533,APRD00151,Rofecoxib,162011-90-7,0QTW8Z7MCR,3-phenyl-4-[4-(methylsulfonyl)phenyl]-2(5H)-furanone | 4-[4-(methylsulfonyl)phenyl]-3-phenyl-2(5H)-furanone | Rofécoxib | Rofecoxib | Rofecoxibum,RZJQGNCSTQAWON-UHFFFAOYSA-N
DB00534,APRD00864,Chlormerodrin,62-37-3,99T5TWO621,{3-[(aminocarbonyl)amino]-2-methoxypropyl}chloromercury | 1-[3-(chloromercuri)-2-methoxypropyl]urea | Chlormerodrin | Chlormerodrina | Chlormerodrine | Chlormerodrinum,BJFGVYCULWBXKF-UHFFFAOYSA-M
DB00535,APRD00644,Cefdinir,91832-40-5,CI0FAO63WC,"(6R,7R,Z)-7-(2-(2-aminothiazol-4-yl)-2-(hydroxyimino)acetamido)-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | (6R,7R)-7-{2-(2-Amino-thiazol-4-yl)-2-[(Z)-hydroxyimino]-acetylamino}-8-oxo-3-vinyl-5-thia-1-aza-bicyclo[4.2.0]oct-2-ene-2-carboxylic acid | Cefdinir | Cefdinirum | CFDN",RTXOFQZKPXMALH-GHXIOONMSA-N
DB00536,APRD01008 | EXPT01546,Guanidine,113-00-8,JU58VJ6Y3B,Aminomethanamidine | Gu | Guanidin | Guanidine | Imidourea | Iminourea,ZRALSGWEFCBTJO-UHFFFAOYSA-N
